City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Emerald,AU,-23.53,148.17,60.94,59,0,6.91,clear sky
246,Thompson,CA,55.74,-97.86,51.96,62,20,11.5,few clouds
247,Zyryanka,RU,65.75,150.85,42.49,82,88,8.79,overcast clouds
248,Flinders,AU,-34.58,150.86,50.2,83,64,1.99,broken clouds
249,Havoysund,NO,71.0,24.66,47.28,68,76,13.42,broken clouds
250,Kantilo,IN,20.35,85.18,82.26,85,100,2.86,overcast clouds
251,West Wendover,US,40.74,-114.07,61.81,34,1,4.61,clear sky
252,Kalmunai,LK,7.42,81.82,79.57,82,100,4.16,light rain
253,Aklavik,CA,68.22,-135.01,43.63,100,90,3.44,fog
254,Birjand,IR,32.87,59.22,84.67,5,0,9.22,clear sky
255,Khandyga,RU,62.67,135.6,53.71,58,100,5.17,overcast clouds
256,Kiunga,PG,-6.12,141.29,70.99,99,96,3.96,overcast clouds
257,Monrovia,LR,6.3,-10.8,80.33,75,97,9.33,overcast clouds
258,Bend,US,44.06,-121.32,50.09,52,1,1.01,clear sky
259,Chicama,PE,-7.84,-79.15,57.74,64,98,8.32,overcast clouds
260,Sijunjung,ID,-0.69,100.95,73.09,98,65,1.83,broken clouds
261,Mehran,IR,33.12,46.16,96.28,14,0,19.28,clear sky
262,Albina,SR,5.5,-54.05,95.95,39,5,2.44,clear sky
263,Newport,GB,51.59,-3.0,72.43,68,74,9.93,broken clouds
264,Iqaluit,CA,63.75,-68.51,40.73,70,90,4.61,light intensity shower rain
265,Vao,NC,-22.67,167.48,67.66,73,1,15.75,clear sky
266,Quang Ngai,VN,15.12,108.8,76.82,94,100,4.16,overcast clouds
267,Shepsi,RU,44.04,39.15,67.93,81,100,7.23,overcast clouds
268,Muzhi,RU,65.37,64.67,40.98,77,100,16.24,overcast clouds
269,Carnarvon,AU,-24.87,113.63,62.67,67,0,14.97,clear sky
270,Nampa,US,43.54,-116.56,55.51,47,1,14.97,clear sky
271,Gambela,ET,8.25,34.58,76.77,82,75,4.23,light rain
272,Hanstholm,DK,57.12,8.62,56.52,83,100,25.41,overcast clouds
273,Raga,SS,8.46,25.68,75.22,88,81,7.11,light rain
274,Grenada,ES,37.19,-3.61,84.9,34,20,4.0,few clouds
275,Lillooet,CA,50.69,-121.94,56.23,68,9,0.92,clear sky
276,Eyl,SO,7.98,49.82,78.58,82,36,21.16,scattered clouds
277,Gambiran,ID,-6.8,111.5,79.07,77,77,4.43,broken clouds
278,Meadow Lake,US,34.8,-106.54,80.73,41,4,9.19,clear sky
279,Oussouye,SN,12.48,-16.55,89.78,81,100,3.69,overcast clouds
280,San Quintin,MX,30.48,-115.95,70.14,74,1,11.79,clear sky
281,Warri,NG,5.52,5.75,83.82,71,82,6.91,moderate rain
282,Tanete,ID,-3.94,119.78,74.86,90,100,3.51,overcast clouds
283,Lavrentiya,RU,65.58,-171.0,33.62,77,66,6.67,broken clouds
284,Kaitangata,NZ,-46.28,169.85,40.32,79,99,3.98,overcast clouds
285,Chulumani,BO,-16.41,-67.53,73.31,74,81,3.85,broken clouds
286,Klyuchi,RU,52.27,79.17,62.46,30,79,8.3,broken clouds
287,Talara,PE,-4.58,-81.27,70.56,68,0,19.57,clear sky
288,Olafsvik,IS,64.89,-23.71,49.86,73,99,10.6,overcast clouds
289,Churachandpur,IN,24.33,93.67,68.43,98,100,2.21,overcast clouds
290,Iskele,TR,39.48,26.93,82.42,47,20,9.22,few clouds
291,Padang,ID,-0.95,100.35,80.65,88,85,3.89,overcast clouds
292,Bethel,US,41.37,-73.41,74.91,74,90,6.91,overcast clouds
293,Ayan,RU,56.45,138.17,55.49,93,100,14.12,light rain
294,Jiuquan,CN,39.74,98.52,70.14,26,100,6.33,overcast clouds
295,Bandrele,YT,-12.91,45.19,76.75,78,75,3.44,broken clouds
296,North Bend,US,43.41,-124.22,53.08,87,1,3.44,clear sky
297,Kangaba,ML,11.93,-8.42,79.9,80,82,4.88,broken clouds
298,Saint Anthony,US,45.02,-93.22,75.92,61,20,8.01,few clouds
299,San Patricio,US,28.02,-97.52,85.15,60,83,9.01,broken clouds
300,Point Fortin,TT,10.18,-61.68,91.89,67,1,9.26,clear sky
301,Kurskaya,RU,44.05,44.45,73.99,34,100,14.67,overcast clouds
302,Muros,ES,42.78,-9.06,76.84,57,1,15.5,clear sky
303,Krasnovishersk,RU,60.41,57.08,40.73,98,100,9.95,overcast clouds
304,Sola,VU,-13.88,167.55,79.47,83,90,5.75,overcast clouds
305,Komagane,JP,35.73,137.94,66.78,96,100,2.44,overcast clouds
306,Ciudad Real,ES,39.0,-4.0,76.14,68,6,1.01,clear sky
307,Buraydah,SA,26.33,43.98,97.25,15,0,11.23,clear sky
308,Black River,JM,18.03,-77.85,86.99,62,66,11.54,broken clouds
309,Dobeln,DE,51.12,13.12,66.67,71,100,7.23,overcast clouds
310,Elk City,US,35.41,-99.4,79.48,61,1,11.5,clear sky
311,Bahadurganj,IN,26.27,87.82,80.06,88,93,6.62,overcast clouds
312,Qaanaaq,GL,77.48,-69.36,22.1,75,100,7.18,overcast clouds
313,Karratha,AU,-20.74,116.85,72.23,60,21,10.85,few clouds
314,Longyearbyen,SJ,78.22,15.64,42.64,75,75,11.5,light rain
315,Batagay-Alyta,RU,67.8,130.41,45.57,88,100,1.92,light rain
316,Sumoto,JP,34.35,134.9,77.0,79,100,6.33,overcast clouds
317,Norman Wells,CA,65.28,-126.83,41.04,87,20,6.91,few clouds
318,Tazovskiy,RU,67.47,78.7,38.82,90,95,7.76,overcast clouds
319,Nuuk,GL,64.18,-51.72,38.01,65,75,4.61,broken clouds
320,Vila Franca Do Campo,PT,37.72,-25.43,73.81,67,75,4.56,broken clouds
321,Charters Towers,AU,-20.1,146.27,59.38,80,3,7.85,clear sky
322,Pochutla,MX,15.74,-96.47,78.82,76,100,2.73,overcast clouds
323,Roebourne,AU,-20.78,117.13,72.82,53,40,9.8,scattered clouds
324,Hearst,CA,49.68,-83.67,64.65,58,64,14.63,broken clouds
325,Boone,US,39.03,-92.33,77.25,63,0,3.0,clear sky
326,Yatou,CN,37.15,122.38,65.53,80,0,7.74,clear sky
327,Dikson,RU,73.51,80.55,36.19,84,100,21.18,overcast clouds
328,Katangli,RU,51.71,143.23,53.96,78,100,6.78,light rain
329,Kavieng,PG,-2.57,150.8,80.55,77,98,9.35,light rain
330,Brae,GB,60.4,-1.35,55.31,86,81,9.82,broken clouds
331,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.99,100,0,8.95,clear sky
332,Centralia,US,46.72,-122.95,51.03,93,20,0.0,few clouds
333,Hihya,EG,30.67,31.59,85.08,46,0,14.61,clear sky
334,Omboue,GA,-1.57,9.26,78.62,77,98,9.46,overcast clouds
335,Ribeira Grande,PT,38.52,-28.7,77.4,73,20,11.5,few clouds
336,Souillac,MU,-20.52,57.52,71.98,83,75,3.44,broken clouds
337,Tigil,RU,57.8,158.67,42.76,88,98,6.22,overcast clouds
338,Niquero,CU,20.04,-77.58,87.19,61,31,5.28,scattered clouds
339,Alta Floresta,BR,-9.88,-56.09,89.42,62,0,3.44,clear sky
340,Saint George,US,37.1,-113.58,83.53,23,1,3.44,clear sky
341,Yenagoa,NG,4.92,6.26,82.08,78,81,6.53,light rain
342,Praia Da Vitoria,PT,38.73,-27.07,76.75,78,75,8.1,broken clouds
343,Lasa,IT,46.62,10.7,67.08,93,100,2.82,overcast clouds
344,Tura,IN,25.52,90.22,73.67,95,98,2.19,overcast clouds
345,Boa Vista,BR,2.82,-60.67,89.58,51,40,10.36,scattered clouds
346,Snezhnogorsk,RU,69.19,33.25,38.98,82,100,6.22,overcast clouds
347,Rudnogorsk,RU,57.26,103.75,31.6,91,10,1.79,clear sky
348,Pesqueria,MX,25.78,-100.05,84.06,83,75,5.75,broken clouds
349,Nikolayevka,RU,53.13,47.2,45.55,75,87,8.08,overcast clouds
350,Rivarolo Canavese,IT,45.33,7.72,76.86,61,40,3.44,scattered clouds
351,Collie,AU,-33.37,116.15,41.99,92,43,4.03,scattered clouds
352,Parry Sound,CA,45.35,-80.03,71.22,68,34,5.08,scattered clouds
353,Marondera,ZW,-18.19,31.55,72.12,20,29,4.68,scattered clouds
354,Homer,US,59.64,-151.55,50.81,70,90,12.66,light rain
355,Anadyr,RU,64.75,177.48,36.1,100,75,11.18,light intensity shower rain
356,Ketchikan,US,55.34,-131.65,50.47,87,90,3.44,light rain
357,Igarka,RU,67.47,86.58,38.98,92,95,10.69,overcast clouds
358,Shimoda,JP,34.67,138.95,71.64,85,97,10.96,overcast clouds
