City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Saint-Michel-Des-Saints,CA,68.05,broken clouds,46.68,-73.92,Motel Du Mont trinity
150,Ambalavao,MG,63.66,clear sky,-21.83,46.93,Hôtel Le Tropik
152,General Pico,AR,73.08,clear sky,-35.66,-63.76,Euskadi Hotel
154,Hemel Hempstead,GB,73.83,few clouds,51.75,-0.48,Premier Inn Hemel Hempstead Central hotel
155,Murray Bridge,AU,73.38,few clouds,-35.12,139.27,Balcony On Sixth Lodge
159,Kimbe,PG,73.8,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
160,Nizhnevartovsk,RU,51.82,broken clouds,60.93,76.55,Luch
163,Gidole,ET,63.84,overcast clouds,5.65,37.37,Shallom mekaneyesus church
164,Noumea,NC,57.18,few clouds,-22.28,166.46,Hôtel Le Lagon
167,Klaksvik,FO,54.52,scattered clouds,62.23,-6.59,Airbnb rooms
171,Sheridan,US,70.3,clear sky,44.83,-106.92,Best Western Sheridan Center
175,Warrington,GB,71.82,few clouds,53.39,-2.58,Patten Arms Hotel
176,Bambous Virieux,MU,71.85,light rain,-20.34,57.76,Casa Tia Villa
177,Moose Factory,CA,64.38,clear sky,51.26,-80.61,Moosonee Lilypad
184,Merrill,US,69.57,scattered clouds,45.18,-89.68,Prairie Motel
187,Plettenberg Bay,ZA,55.33,broken clouds,-34.05,23.37,Thanda Vista B&B
195,Suicheng,CN,67.87,light rain,33.9,117.93,Junyue Hotel
197,Baft,IR,73.74,clear sky,29.23,56.61,بافت خیابان طالقانی غربی ساختمان مادر
199,Sagar,IN,73.08,overcast clouds,23.83,78.72,Hotel Devyog
203,Sieradz,PL,69.73,overcast clouds,51.6,18.73,Baza noclegowa Mistral
205,Umtata,ZA,50.56,light rain,-31.59,28.78,LLZZ Boutique Lodge
207,Sept-Iles,CA,63.05,broken clouds,50.2,-66.38,Comfort Inn
212,Nara,JP,74.48,overcast clouds,34.69,135.8,Guesthouse Nara Komachi
214,Mirosov,CZ,67.01,light rain,49.69,13.66,Na Statku - Hotel a Restaurace
217,Rocha,UY,67.75,clear sky,-34.48,-54.33,Beleza Pura B&B
219,Bredasdorp,ZA,61.92,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
222,Balikpapan,ID,73.54,overcast clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
225,Gotsu,JP,72.88,overcast clouds,35.0,132.22,Yurusato
226,Kawalu,ID,72.9,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
230,Mahebourg,MU,71.89,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
231,Constitucion,CL,60.08,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
232,Lagoa,PT,71.89,few clouds,39.05,-27.98,Casa Das Faias
235,Gimli,CA,51.82,overcast clouds,50.63,-96.99,Lakeview Gimli Resort
240,Ariogala,LT,55.98,overcast clouds,55.27,23.47,"Prie Dubysos, kaimo turizmo sodyba"
244,Hasaki,JP,68.4,overcast clouds,35.73,140.83,Hotel Sunrise Choshi
245,Emerald,AU,60.94,clear sky,-23.53,148.17,The Irish Village
246,Thompson,CA,51.96,few clouds,55.74,-97.86,Burntwood Hotel
248,Flinders,AU,50.2,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
251,West Wendover,US,61.81,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
255,Khandyga,RU,53.71,overcast clouds,62.67,135.6,Apel'sin
256,Kiunga,PG,70.99,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
258,Bend,US,50.09,clear sky,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
259,Chicama,PE,57.74,overcast clouds,-7.84,-79.15,Balihai Bungalows
260,Sijunjung,ID,73.09,broken clouds,-0.69,100.95,Hotel Bukik Gadang
263,Newport,GB,72.43,broken clouds,51.59,-3.0,ibis budget Newport
265,Vao,NC,67.66,clear sky,-22.67,167.48,Hotel Kou-Bugny
267,Shepsi,RU,67.93,overcast clouds,44.04,39.15,Otel' Chayka
269,Carnarvon,AU,62.67,clear sky,-24.87,113.63,Hospitality Carnarvon
270,Nampa,US,55.51,clear sky,43.54,-116.56,Nampa Downtown
272,Hanstholm,DK,56.52,overcast clouds,57.12,8.62,Hotel Hanstholm
275,Lillooet,CA,56.23,clear sky,50.69,-121.94,Hotel Victoria
280,San Quintin,MX,70.14,clear sky,30.48,-115.95,Don Eddie's Sport Fishing Center
282,Tanete,ID,74.86,overcast clouds,-3.94,119.78,Wisma Tri Multi
285,Chulumani,BO,73.31,broken clouds,-16.41,-67.53,Hotel Cabanas Paradise
286,Klyuchi,RU,62.46,broken clouds,52.27,79.17,Gostinitsa Luch
287,Talara,PE,70.56,clear sky,-4.58,-81.27,Hostal Oro Negro
289,Churachandpur,IN,68.43,overcast clouds,24.33,93.67,Happiness Home
292,Bethel,US,74.91,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
293,Ayan,RU,55.49,light rain,56.45,138.17,Gostinitsa
294,Jiuquan,CN,70.14,overcast clouds,39.74,98.52,Jiuquan Hotel
296,North Bend,US,53.08,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
301,Kurskaya,RU,73.99,overcast clouds,44.05,44.45,Gostinitsa Fortuna
305,Komagane,JP,66.78,overcast clouds,35.73,137.94,駒ヶ根ユースホステル
309,Dobeln,DE,66.67,overcast clouds,51.12,13.12,Döbelner Hof
313,Karratha,AU,72.23,few clouds,-20.74,116.85,ibis Styles Karratha
320,Vila Franca Do Campo,PT,73.81,broken clouds,37.72,-25.43,Pestana Bahia Praia
321,Charters Towers,AU,59.38,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
323,Roebourne,AU,72.82,scattered clouds,-20.78,117.13,Latitude20 Roebourne Village
324,Hearst,CA,64.65,broken clouds,49.68,-83.67,Companion
326,Yatou,CN,65.53,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
330,Brae,GB,55.31,broken clouds,60.4,-1.35,Busta House Hotel
332,Centralia,US,51.03,few clouds,46.72,-122.95,Peppermill Inn
336,Souillac,MU,71.98,broken clouds,-20.52,57.52,Bils' Villa
343,Lasa,IT,67.08,overcast clouds,46.62,10.7,Pension Feldgärtenhof
344,Tura,IN,73.67,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
352,Parry Sound,CA,71.22,scattered clouds,45.35,-80.03,Bayside Inn
353,Marondera,ZW,72.12,scattered clouds,-18.19,31.55,HopeFay Conference Centre
354,Homer,US,50.81,light rain,59.64,-151.55,Beluga Lake Lodge
356,Ketchikan,US,50.47,light rain,55.34,-131.65,Snow's Cove Lodge
358,Shimoda,JP,71.64,overcast clouds,34.67,138.95,Shimoda Tokyu Hotel
359,Llanes,ES,68.02,scattered clouds,43.42,-4.75,Hotel La Paz
361,Geraldton,AU,50.41,broken clouds,-28.77,114.6,Broadwater Mariner Resort
365,Kruisfontein,ZA,53.89,broken clouds,-34.0,24.73,Oyster Bay House Rental
367,Coquimbo,CL,55.13,overcast clouds,-29.95,-71.34,Hotel San Juan
373,Xingtai,CN,67.03,light rain,37.06,114.49,Xingzhou Hotel
376,Whitianga,NZ,54.01,overcast clouds,-36.83,175.7,Beachside Resort Whitianga
378,Portland,US,53.4,clear sky,45.52,-122.68,The Bidwell Marriott Portland
379,Skibotn,NO,50.09,overcast clouds,69.39,20.27,Olderelv Camping
380,Saint-Pierre,RE,73.08,broken clouds,-21.34,55.48,Lindsey Hôtel
382,Kochki,RU,58.23,overcast clouds,54.34,80.48,Гостиница «Малина»
384,Makubetsu,JP,58.01,overcast clouds,45.37,141.82,RED BARON Bike Station Wakkanai
